Date,Sales
2019-07-27,4478
2019-07-28,3278
2019-07-29,3796
2019-07-30,2678
2019-07-31,4242
2019-08-01,1540
2019-08-02,2059
2019-08-03,3572
2019-08-04,2183
2019-08-05,4910
2019-08-06,2722
2019-08-07,4314
2019-08-08,4157
2019-08-09,2819
2019-08-10,3625
2019-08-11,3729
2019-08-12,3604
2019-08-13,2597
2019-08-14,4060
2019-08-15,3693
2019-08-16,1795
2019-08-17,2051
2019-08-18,2643
2019-08-19,4627
2019-08-20,2363
2019-08-21,4869
2019-08-22,2981
2019-08-23,2354
2019-08-24,2663
2019-08-25,2529
2019-08-26,3038
2019-08-27,4419
2019-08-28,2496
2019-08-29,4302
2019-08-30,3237
2019-08-31,4296
2019-09-01,2408
2019-09-02,2400
2019-09-03,2306
2019-09-04,3680
2019-09-05,3675
2019-09-06,1972
2019-09-07,2768
2019-09-08,2282
2019-09-09,4430
2019-09-10,1709
2019-09-11,2479
2019-09-12,2434
2019-09-13,1648
2019-09-14,1317
2019-09-15,4748
2019-09-16,4296
2019-09-17,4890
2019-09-18,2257
2019-09-19,1683
2019-09-20,1663
2019-09-21,2998
2019-09-22,4898
2019-09-23,4445
2019-09-24,4743
2019-09-25,2631
2019-09-26,2495
2019-09-27,4304
2019-09-28,4763
2019-09-29,2136
2019-09-30,2853
2019-10-01,2520
2019-10-02,3489
2019-10-03,1563
2019-10-04,2291
2019-10-05,4581
2019-10-06,4878
2019-10-07,4457
2019-10-08,4458
2019-10-09,4184
2019-10-10,2636
2019-10-11,4696
2019-10-12,3999
2019-10-13,4152
2019-10-14,1698
2019-10-15,3160
2019-10-16,1001
2019-10-17,1641
2019-10-18,3267
2019-10-19,2589
2019-10-20,1854
2019-10-21,2759
2019-10-22,4296
2019-10-23,3432
2019-10-24,4474
2019-10-25,2661
2019-10-26,2153
2019-10-27,2076
2019-10-28,2707
2019-10-29,3777
2019-10-30,2695
2019-10-31,2733
2019-11-01,2439
2019-11-02,3294
2019-11-03,1835
2019-11-04,4510
2019-11-05,1202
2019-11-06,4255
2019-11-07,1122
2019-11-08,1400
2019-11-09,1766
2019-11-10,1293
2019-11-11,3327
2019-11-12,4908
2019-11-13,3931
2019-11-14,4681
2019-11-15,1197
2019-11-16,4029
2019-11-17,2930
2019-11-18,4582
2019-11-19,3799
2019-11-20,3191
2019-11-21,1608
2019-11-22,4272
2019-11-23,2147
2019-11-24,1186
2019-11-25,4397
2019-11-26,3511
2019-11-27,4420
2019-11-28,2794
2019-11-29,1659
2019-11-30,3811
2019-12-01,4002
2019-12-02,2955
2019-12-03,3450
2019-12-04,2369
2019-12-05,2986
2019-12-06,2534
2019-12-07,1146
2019-12-08,4219
2019-12-09,3911
2019-12-10,2734
2019-12-11,2843
2019-12-12,1488
2019-12-13,3976
2019-12-14,2959
2019-12-15,2663
2019-12-16,3598
2019-12-17,3385
2019-12-18,3919
2019-12-19,1640
2019-12-20,2802
2019-12-21,3520
2019-12-22,2969
2019-12-23,3198
2019-12-24,2438
2019-12-25,4369
2019-12-26,2634
2019-12-27,1262
2019-12-28,2787
2019-12-29,3191
2019-12-30,3393
2019-12-31,1623
2020-01-01,2016
2020-01-02,4643
2020-01-03,1880
2020-01-04,3049
2020-01-05,3944
2020-01-06,2327
2020-01-07,3301
2020-01-08,4723
2020-01-09,1452
2020-01-10,4108
2020-01-11,2183
2020-01-12,4062
2020-01-13,3056
2020-01-14,4304
2020-01-15,4170
2020-01-16,2682
2020-01-17,3863
2020-01-18,3255
2020-01-19,2154
2020-01-20,1403
2020-01-21,3199
2020-01-22,3101
2020-01-23,4191
2020-01-24,2696
2020-01-25,4991
2020-01-26,1627
2020-01-27,1586
2020-01-28,2648
2020-01-29,2443
2020-01-30,2445
2020-01-31,1103
2020-02-01,4923
2020-02-02,1253
2020-02-03,4298
2020-02-04,4183
2020-02-05,3557
2020-02-06,2496
2020-02-07,1098
2020-02-08,3200
2020-02-09,2884
2020-02-10,3961
2020-02-11,2919
2020-02-12,1877
2020-02-13,1337
2020-02-14,4777
2020-02-15,3869
2020-02-16,4234
2020-02-17,4791
2020-02-18,1956
2020-02-19,2704
2020-02-20,1160
2020-02-21,2603
2020-02-22,3848
2020-02-23,1397
2020-02-24,2300
2020-02-25,1815
2020-02-26,4987
2020-02-27,2527
2020-02-28,2919
2020-02-29,2415
2020-03-01,2158
2020-03-02,2218
2020-03-03,1400
2020-03-04,1639
2020-03-05,4104
2020-03-06,3735
2020-03-07,1459
2020-03-08,1954
2020-03-09,4954
2020-03-10,1469
2020-03-11,4446
2020-03-12,2045
2020-03-13,3797
2020-03-14,2693
2020-03-15,3085
2020-03-16,3277
2020-03-17,4436
2020-03-18,1562
2020-03-19,3485
2020-03-20,2799
2020-03-21,4354
2020-03-22,3074
2020-03-23,1225
2020-03-24,4348
2020-03-25,1797
2020-03-26,4680
2020-03-27,3331
2020-03-28,3926
2020-03-29,1959
2020-03-30,2504
2020-03-31,1452
2020-04-01,4067
2020-04-02,4900
2020-04-03,1815
2020-04-04,1658
2020-04-05,4587
2020-04-06,1546
2020-04-07,2215
2020-04-08,4120
2020-04-09,4583
2020-04-10,1016
2020-04-11,4243
2020-04-12,2243
2020-04-13,3205
2020-04-14,3524
2020-04-15,2069
2020-04-16,4444
2020-04-17,3565
2020-04-18,3146
2020-04-19,4963
2020-04-20,2768
2020-04-21,2060
2020-04-22,3327
2020-04-23,4420
2020-04-24,3544
2020-04-25,1301
2020-04-26,1180
2020-04-27,1606
2020-04-28,4170
2020-04-29,1699
2020-04-30,1992
2020-05-01,2139
2020-05-02,1190
2020-05-03,3300
2020-05-04,1980
2020-05-05,3975
2020-05-06,3006
2020-05-07,2184
2020-05-08,4327
2020-05-09,4394
2020-05-10,1127
2020-05-11,3065
2020-05-12,2816
2020-05-13,2758
2020-05-14,3613
2020-05-15,1569
2020-05-16,2346
2020-05-17,2895
2020-05-18,3733
2020-05-19,4863
2020-05-20,1625
2020-05-21,4359
2020-05-22,3901
2020-05-23,2686
2020-05-24,4009
2020-05-25,4710
2020-05-26,1154
2020-05-27,3537
2020-05-28,2409
2020-05-29,1784
2020-05-30,4175
2020-05-31,4464
2020-06-01,4882
2020-06-02,1245
2020-06-03,4247
2020-06-04,4110
2020-06-05,2500
2020-06-06,2705
2020-06-07,3806
2020-06-08,1537
2020-06-09,2890
2020-06-10,2841
2020-06-11,1920
2020-06-12,3455
2020-06-13,1524
2020-06-14,3875
2020-06-15,2529
2020-06-16,3950
2020-06-17,4896
2020-06-18,1035
2020-06-19,1684
2020-06-20,1019
2020-06-21,3368
2020-06-22,4847
2020-06-23,3559
2020-06-24,1399
2020-06-25,3701
2020-06-26,1971
2020-06-27,2906
2020-06-28,3518
2020-06-29,2166
2020-06-30,2115
2020-07-01,4425
2020-07-02,1833
2020-07-03,2823
2020-07-04,3774
2020-07-05,2982
2020-07-06,1853
2020-07-07,1050
2020-07-08,4736
2020-07-09,4769
2020-07-10,1574
2020-07-11,4261
2020-07-12,2148
2020-07-13,3197
2020-07-14,3361
2020-07-15,3617
2020-07-16,4413
2020-07-17,3352
2020-07-18,2715
2020-07-19,1681
2020-07-20,1837
2020-07-21,4854
2020-07-22,2077
2020-07-23,4050
2020-07-24,3491
2020-07-25,3660
2020-07-26,4040
2020-07-27,3311
2020-07-28,4124
2020-07-29,2595
2020-07-30,4051
2020-07-31,4691
2020-08-01,1004
2020-08-02,2126
2020-08-03,2219
2020-08-04,1773
2020-08-05,1876
2020-08-06,1991
2020-08-07,3931
2020-08-08,4421
2020-08-09,1046
2020-08-10,3914
2020-08-11,3870
2020-08-12,3983
2020-08-13,4891
2020-08-14,3703
2020-08-15,1268
2020-08-16,1369
2020-08-17,1635
2020-08-18,2129
2020-08-19,2693
2020-08-20,2682
2020-08-21,1656
2020-08-22,1119
2020-08-23,1830
2020-08-24,2810
2020-08-25,4675
2020-08-26,2081
2020-08-27,2974
2020-08-28,2369
2020-08-29,1740
2020-08-30,4545
2020-08-31,1116
2020-09-01,2853
2020-09-02,3838
2020-09-03,2150
2020-09-04,4464
2020-09-05,2931
2020-09-06,2012
2020-09-07,2664
2020-09-08,2081
2020-09-09,1633
2020-09-10,1512
2020-09-11,4822
2020-09-12,3849
2020-09-13,2119
2020-09-14,4709
2020-09-15,2141
2020-09-16,1559
2020-09-17,4672
2020-09-18,1487
2020-09-19,4308
2020-09-20,4956
2020-09-21,1896
2020-09-22,4343
2020-09-23,2212
2020-09-24,1703
2020-09-25,2470
2020-09-26,1580
2020-09-27,3837
2020-09-28,3908
2020-09-29,3294
2020-09-30,4147
2020-10-01,1153
2020-10-02,2679
2020-10-03,4506
2020-10-04,1996
2020-10-05,4157
2020-10-06,3744
2020-10-07,4356
2020-10-08,2243
2020-10-09,2092
2020-10-10,4118
2020-10-11,2008
2020-10-12,3141
2020-10-13,2773
2020-10-14,1957
2020-10-15,4059
2020-10-16,1452
2020-10-17,2227
2020-10-18,3959
2020-10-19,3265
2020-10-20,3521
2020-10-21,3479
2020-10-22,3388
2020-10-23,1550
2020-10-24,2635
2020-10-25,2312
2020-10-26,4325
2020-10-27,2757
2020-10-28,1356
2020-10-29,3070
2020-10-30,2785
2020-10-31,3569
2020-11-01,2781
2020-11-02,4908
2020-11-03,4171
2020-11-04,3849
2020-11-05,4251
2020-11-06,4294
2020-11-07,4977
2020-11-08,3809
2020-11-09,4730
2020-11-10,3489
2020-11-11,2631
2020-11-12,3816
2020-11-13,2015
2020-11-14,2348
2020-11-15,1515
2020-11-16,4087
2020-11-17,3839
2020-11-18,1335
2020-11-19,2782
2020-11-20,3305
2020-11-21,1496
2020-11-22,1895
2020-11-23,3207
2020-11-24,4546
2020-11-25,1851
2020-11-26,2687
2020-11-27,2931
2020-11-28,3737
2020-11-29,4746
2020-11-30,3427
2020-12-01,2568
2020-12-02,1956
2020-12-03,3738
2020-12-04,4498
2020-12-05,2636
2020-12-06,2291
2020-12-07,4906
2020-12-08,4648
2020-12-09,2440
2020-12-10,2191
2020-12-11,4913
2020-12-12,2066
2020-12-13,4627
2020-12-14,1284
2020-12-15,3444
2020-12-16,1011
2020-12-17,2630
2020-12-18,4373
2020-12-19,4969
2020-12-20,4324
2020-12-21,3546
2020-12-22,1753
2020-12-23,3082
2020-12-24,3774
2020-12-25,3896
2020-12-26,1089
2020-12-27,1775
2020-12-28,3652
2020-12-29,4993
2020-12-30,4017
2020-12-31,2625
